tag,rank,region
Zomba,1,NYC
Mr. E,2,NYC
GuyGuy,3,NYC
Fawn,4,NYC
PkChris,5,NYC
John Numbers,6,NYC
Sho,7,NYC
Quidd,8,NYC
Gen,9,NYC
Meli,10,NYC
Cee,11,NYC
Cody,12,NYC
Vivi,13,NYC
LRA_START,14,NYC
Shon,15,NYC
Juice,1,Philly
Mercury,2,Philly
Jon,3,Philly
Beast,4,Philly
Yoda Cage,5,Philly
DTP,6,Philly
Alo!,7,Philly
Dovidio,8,Philly
SAUCE,9,Philly
BONK!,10,Philly
BlassTD,11,Philly
Conman,12,Philly
Archangel,13,Philly
Yellow,14,Philly
Kenoca,15,Philly
MPG,0,Philly
Light,1,New England
Ling,2,New England
Pelca,3,New England
naitosharp,4,New England
Antimony,5,New England
Unleashed,6,New England
Nuggetz,7,New England
DM,8,New England
BlitzLuigi,9,New England
Apple Reviewer,10,New England
G-XTREME,11,New England
Just Blue,12,New England
Tyler,13,New England
Bruho,14,New England
Luxa,15,New England